Start,Destination,Hour,Capacity
Bbcountry,Hhcountry,14,0.0
Bbcountry,Hhcountry,15,0.0
Bbcountry,Hhcountry,16,0.0
Bbcountry,Hhcountry,17,0.0
Bbcountry,Hhcountry,18,0.0
Bbcountry,Hhcountry,19,0.0
Bbcountry,Hhcountry,20,0.0
Bbcountry,Hhcountry,21,0.0
Bbcountry,Hhcountry,22,0.0
Bbcountry,Hhcountry,23,0.0
Bbcountry,Mvcountry,0,0.0
Bbcountry,Mvcountry,1,0.0
Bbcountry,Mvcountry,2,0.0
Bbcountry,Mvcountry,3,0.0
Bbcountry,Mvcountry,4,0.0
Bbcountry,Mvcountry,5,0.0
Bbcountry,Mvcountry,6,0.0
Bbcountry,Mvcountry,7,0.0
Bbcountry,Mvcountry,8,0.0
Bbcountry,Mvcountry,9,0.0
Bbcountry,Mvcountry,10,0.0
Bbcountry,Mvcountry,11,0.0
Bbcountry,Mvcountry,12,0.0
Bbcountry,Mvcountry,13,0.0
Bbcountry,Mvcountry,14,0.0
Bbcountry,Mvcountry,15,0.0
Bbcountry,Mvcountry,16,0.0
Bbcountry,Mvcountry,17,0.0
Bbcountry,Mvcountry,18,0.0
Bbcountry,Mvcountry,19,0.0
Bbcountry,Mvcountry,20,0.0
Bbcountry,Mvcountry,21,0.0
Bbcountry,Mvcountry,22,0.0
Bbcountry,Mvcountry,23,0.0
Bbcountry,Nicountry,0,0.0
Bbcountry,Nicountry,1,0.0
Bbcountry,Nicountry,2,0.0
Bbcountry,Nicountry,3,0.0
Bbcountry,Nicountry,4,0.0
Bbcountry,Nicountry,5,0.0
Bbcountry,Nicountry,6,0.0
Bbcountry,Nicountry,7,0.0
Bbcountry,Nicountry,8,0.0
Bbcountry,Nicountry,9,0.0
Bbcountry,Nicountry,10,0.0
Bbcountry,Nicountry,11,0.0
Bbcountry,Nicountry,12,0.0
Bbcountry,Nicountry,13,0.0
Bbcountry,Nicountry,14,0.0
Bbcountry,Nicountry,15,0.0
Bbcountry,Nicountry,16,0.0
Bbcountry,Nicountry,17,0.0
Bbcountry,Nicountry,18,0.0
Bbcountry,Nicountry,19,0.0
Bbcountry,Nicountry,20,0.0
Bbcountry,Nicountry,21,0.0
Bbcountry,Nicountry,22,0.0
Bbcountry,Nicountry,23,0.0
Bbcountry,Nwcountry,0,0.0
Bbcountry,Nwcountry,1,0.0
Bbcountry,Nwcountry,2,0.0
Bbcountry,Nwcountry,3,0.0
Bbcountry,Nwcountry,4,0.0
Bbcountry,Nwcountry,5,0.0
Bbcountry,Nwcountry,6,0.0
Bbcountry,Nwcountry,7,0.0
Bbcountry,Nwcountry,8,0.0
Bbcountry,Nwcountry,9,0.0
Bbcountry,Nwcountry,10,0.0
Bbcountry,Nwcountry,11,0.0
Bbcountry,Nwcountry,12,0.0
Bbcountry,Nwcountry,13,0.0
Bbcountry,Nwcountry,14,0.0
Bbcountry,Nwcountry,15,0.0
Bbcountry,Nwcountry,16,0.0
Bbcountry,Nwcountry,17,0.0
Bbcountry,Nwcountry,18,0.0
Bbcountry,Nwcountry,19,0.0
Bbcountry,Nwcountry,20,0.0
Bbcountry,Nwcountry,21,0.0
Bbcountry,Nwcountry,22,0.0
Bbcountry,Nwcountry,23,0.0
Bbcountry,Rpcountry,0,0.0
Bbcountry,Rpcountry,1,0.0
Bbcountry,Rpcountry,2,0.0
Bbcountry,Rpcountry,3,0.0
Bbcountry,Rpcountry,4,0.0
Bbcountry,Rpcountry,5,0.0
Bbcountry,Rpcountry,6,0.0
Bbcountry,Rpcountry,7,0.0
Bbcountry,Rpcountry,8,0.0
Bbcountry,Rpcountry,9,0.0
Bbcountry,Rpcountry,10,0.0
Bbcountry,Rpcountry,11,0.0
Bbcountry,Rpcountry,12,0.0
Bbcountry,Rpcountry,13,0.0
Bbcountry,Rpcountry,14,0.0
Bbcountry,Rpcountry,15,0.0
Bbcountry,Rpcountry,16,0.0
Bbcountry,Rpcountry,17,0.0
Bbcountry,Rpcountry,18,0.0
Bbcountry,Rpcountry,19,0.0
Bbcountry,Rpcountry,20,0.0
Bbcountry,Rpcountry,21,0.0
Bbcountry,Rpcountry,22,0.0
Bbcountry,Rpcountry,23,0.0
Bbcountry,Shcountry,0,0.0
Bbcountry,Shcountry,1,0.0
Bbcountry,Shcountry,2,0.0
Bbcountry,Shcountry,3,0.0
Bbcountry,Shcountry,4,0.0
Bbcountry,Shcountry,5,0.0
Bbcountry,Shcountry,6,0.0
Bbcountry,Shcountry,7,0.0
Bbcountry,Shcountry,8,0.0
Bbcountry,Shcountry,9,0.0
Bbcountry,Shcountry,10,0.0
Bbcountry,Shcountry,11,0.0
Bbcountry,Shcountry,12,0.0
Bbcountry,Shcountry,13,0.0
Bbcountry,Shcountry,14,0.0
Bbcountry,Shcountry,15,0.0
Bbcountry,Shcountry,16,0.0
Bbcountry,Shcountry,17,0.0
Bbcountry,Shcountry,18,0.0
Bbcountry,Shcountry,19,0.0
Bbcountry,Shcountry,20,0.0
Bbcountry,Shcountry,21,0.0
Bbcountry,Shcountry,22,0.0
Bbcountry,Shcountry,23,0.0
Bbcountry,Slcountry,0,0.0
Bbcountry,Slcountry,1,0.0
Bbcountry,Slcountry,2,0.0
Bbcountry,Slcountry,3,0.0
Bbcountry,Slcountry,4,0.0
Bbcountry,Slcountry,5,0.0
Bbcountry,Slcountry,6,0.0
Bbcountry,Slcountry,7,0.0
Bbcountry,Slcountry,8,0.0
Bbcountry,Slcountry,9,0.0
Bbcountry,Slcountry,10,0.0
Bbcountry,Slcountry,11,0.0
Bbcountry,Slcountry,12,0.0
Bbcountry,Slcountry,13,0.0
Bbcountry,Slcountry,14,0.0
Bbcountry,Slcountry,15,0.0
Bbcountry,Slcountry,16,0.0
Bbcountry,Slcountry,17,0.0
Bbcountry,Slcountry,18,0.0
Bbcountry,Slcountry,19,0.0
Bbcountry,Slcountry,20,0.0
Bbcountry,Slcountry,21,0.0
Bbcountry,Slcountry,22,0.0
Bbcountry,Slcountry,23,0.0
Bbcountry,Sncountry,0,0.0
Bbcountry,Sncountry,1,0.0
Bbcountry,Sncountry,2,0.0
Bbcountry,Sncountry,3,0.0
Bbcountry,Sncountry,4,0.0
Bbcountry,Sncountry,5,0.0
Bbcountry,Sncountry,6,0.0
Bbcountry,Sncountry,7,0.0
Bbcountry,Sncountry,8,0.0
Bbcountry,Sncountry,9,0.0
Bbcountry,Sncountry,10,0.0
Bbcountry,Sncountry,11,0.0
Bbcountry,Sncountry,12,0.0
Bbcountry,Sncountry,13,0.0
Bbcountry,Sncountry,14,0.0
Bbcountry,Sncountry,15,0.0
Bbcountry,Sncountry,16,0.0
Bbcountry,Sncountry,17,0.0
Bbcountry,Sncountry,18,0.0
Bbcountry,Sncountry,19,0.0
Bbcountry,Sncountry,20,0.0
Bbcountry,Sncountry,21,0.0
Bbcountry,Sncountry,22,0.0
Bbcountry,Sncountry,23,0.0
Bbcountry,Stcountry,0,0.0
Bbcountry,Stcountry,1,0.0
Bbcountry,Stcountry,2,0.0
Bbcountry,Stcountry,3,0.0
Bbcountry,Stcountry,4,0.0
Bbcountry,Stcountry,5,0.0
Bbcountry,Stcountry,6,0.0
