region,fuel,hour,Power
Shcity,Power,5088,0.3657655851001278
Shcity,Power,5089,0.352919043525904
Shcity,Power,5090,0.3465764345901181
Shcity,Power,5091,0.3476292908488188
Shcity,Power,5092,0.3559757222767992
Shcity,Power,5093,0.37791588370752327
Shcity,Power,5094,0.42920016177556386
Shcity,Power,5095,0.478404200057049
Shcity,Power,5096,0.5082322909459382
Shcity,Power,5097,0.5245940136899605
Shcity,Power,5098,0.5413038579173968
Shcity,Power,5099,0.5571816059607579
Shcity,Power,5100,0.5524182816375672
Shcity,Power,5101,0.5483766730120507
Shcity,Power,5102,0.5408283745761059
Shcity,Power,5103,0.5321083489338655
Shcity,Power,5104,0.5170287334334517
Shcity,Power,5105,0.5129446707056134
Shcity,Power,5106,0.5059058188029992
Shcity,Power,5107,0.49412062394867
Shcity,Power,5108,0.4754409199719909
Shcity,Power,5109,0.4619830422883175
Shcity,Power,5110,0.44082403202906495
Shcity,Power,5111,0.4031929194375655
Shcity,Power,5112,0.37803475420602983
Hhcity,Power,5088,1.1833219309569543
Hhcity,Power,5089,1.1417609011581344
Hhcity,Power,5090,1.1212413428428147
Hhcity,Power,5091,1.1246475350922163
Hhcity,Power,5092,1.1516498441018346
Hhcity,Power,5093,1.222630481010593
Hhcity,Power,5094,1.3885449722129148
Hhcity,Power,5095,1.547729488094003
Hhcity,Power,5096,1.6442290920623142
Hhcity,Power,5097,1.6971624082077865
Hhcity,Power,5098,1.7512219642258493
Hhcity,Power,5099,1.8025895292436864
Hhcity,Power,5100,1.787179260028913
Hhcity,Power,5101,1.7741038797368898
Hhcity,Power,5102,1.7496836842769576
Hhcity,Power,5103,1.721472726217179
Hhcity,Power,5104,1.6726872732961413
Hhcity,Power,5105,1.6594745458277225
Hhcity,Power,5106,1.636702507767221
Hhcity,Power,5107,1.5985751384907727
Hhcity,Power,5108,1.5381427077760643
Hhcity,Power,5109,1.4946038882261947
Hhcity,Power,5110,1.4261504254154096
Hhcity,Power,5111,1.3044065472874502
Hhcity,Power,5112,1.2230150499081511
Nicity,Power,5088,1.139643315754657
Nicity,Power,5089,1.099616380930757
Nicity,Power,5090,1.0798542377096132
Nicity,Power,5091,1.083134701062529
Nicity,Power,5092,1.1091403045823311
Nicity,Power,5093,1.1775009140537172
Nicity,Power,5094,1.3372911925391746
Nicity,Power,5095,1.4905999116202229
Nicity,Power,5096,1.5835375355739343
Nicity,Power,5097,1.6345169844861427
Nicity,Power,5098,1.6865811016607706
Nicity,Power,5099,1.7360525942340796
Nicity,Power,5100,1.7212111467419389
Nicity,Power,5101,1.7086184030760594
Nicity,Power,5102,1.6850996024882705
Nicity,Power,5103,1.657929963404626
Nicity,Power,5104,1.6109452723640723
Nicity,Power,5105,1.598220251261747
Nicity,Power,5106,1.576288771515763
Nicity,Power,5107,1.539568754412662
Nicity,Power,5108,1.4813669972094234
Nicity,Power,5109,1.4394352765358027
Nicity,Power,5110,1.3735085584621483
Nicity,Power,5111,1.2562584734997444
Nicity,Power,5112,1.1778712877973991
Hbcity,Power,5088,1.5191772674285324
Hbcity,Power,5089,1.465820213841072
Hbcity,Power,5090,1.4394767094110494
Hbcity,Power,5091,1.4438496612666762
Hbcity,Power,5092,1.4785158775703993
Hbcity,Power,5093,1.5696425331308015
Hbcity,Power,5094,1.7826475631040923
Hbcity,Power,5095,1.9870124882581433
Hbcity,Power,5096,2.1109010099100316
Hbcity,Power,5097,2.178858079304306
Hbcity,Power,5098,2.248261042641177
Hbcity,Power,5099,2.314207962931201
Hbcity,Power,5100,2.294423887217244
Hbcity,Power,5101,2.2776373982804925
Hbcity,Power,5102,2.2462861616995156
Hbcity,Power,5103,2.2100682525611823
Hbcity,Power,5104,2.1474363101286533
Hbcity,Power,5105,2.130473491570463
Hbcity,Power,5106,2.1012381992552482
Hbcity,Power,5107,2.0522893619555016
Hbcity,Power,5108,1.9747047482037818
Hbcity,Power,5109,1.918808560378255
Hbcity,Power,5110,1.8309263519459225
Hbcity,Power,5111,1.6746286215801751
Hbcity,Power,5112,1.5701362519672788
Nwcity,Power,5088,7.558857223576258
Nwcity,Power,5089,7.293372504586877
Nwcity,Power,5090,7.16229709092416
Nwcity,Power,5091,7.184055261896667
Nwcity,Power,5092,7.356541373385812
Nwcity,Power,5093,7.80995348888503
Nwcity,Power,5094,8.869786757847127
Nwcity,Power,5095,9.886630100534253
Nwcity,Power,5096,10.503052993954498
Nwcity,Power,5097,10.84118192459172
Nwcity,Power,5098,11.18650508206925
Nwcity,Power,5099,11.514632263468311
Nwcity,Power,5100,11.416194110904751
Nwcity,Power,5101,11.33267082769184
Nwcity,Power,5102,11.176678814001892
Nwcity,Power,5103,10.9964720600024
Nwcity,Power,5104,10.684838967121745
Nwcity,Power,5105,10.600438333739556
Nwcity,Power,5106,10.454974466396228
Nwcity,Power,5107,10.211423380988577
Nwcity,Power,5108,9.8253913946831
Nwcity,Power,5109,9.5472728945093
Nwcity,Power,5110,9.110003933029251
Nwcity,Power,5111,8.332324952745747
Nwcity,Power,5112,7.812410048941277
Hecity,Power,5088,2.0556167666545946
Hecity,Power,5089,1.9834187050292214
Hecity,Power,5090,1.9477729969477309
Hecity,Power,5091,1.9536900899341307
Hecity,Power,5092,2.0005973580971332
Hecity,Power,5093,2.1239019158175068
Hecity,Power,5094,2.4121215465232826
Hecity,Power,5095,2.688650148991027
Hecity,Power,5096,2.8562851760308536
Hecity,Power,5097,2.948238692091581
Hecity,Power,5098,3.0421486643835385
Hecity,Power,5099,3.131382223865947
Hecity,Power,5100,3.104612156526004
Hecity,Power,5101,3.0818981593832886
Hecity,Power,5102,3.039476429574037
Hecity,Power,5103,2.9904695474450342
Hecity,Power,5104,2.9057215237924825
Hecity,Power,5105,2.882768932949046
Hecity,Power,5106,2.8432103124050947
Hecity,Power,5107,2.7769770604871513
Hecity,Power,5108,2.6719964000455882
Hecity,Power,5109,2.596362605787518
Hecity,Power,5110,2.4774481479310486
Hecity,Power,5111,2.2659598364493183
Hecity,Power,5112,2.1245699726269627
Rpcity,Power,5088,2.324280299865516
Rpcity,Power,5089,2.242646147504796
Rpcity,Power,5090,2.2023416421064477
Rpcity,Power,5091,2.2090320830893475
Rpcity,Power,5092,2.262070003912113
Rpcity,Power,5093,2.401490132723142
Rpcity,Power,5094,2.7273792870396734
Rpcity,Power,5095,3.0400494274526313
Rpcity,Power,5096,3.229593897626512
Rpcity,Power,5097,3.333565488708221
Rpcity,Power,5098,3.4397492395414764
Rpcity,Power,5099,3.540645383101046
Rpcity,Power,5100,3.510376540603927
Rpcity,Power,5101,3.484693885672127
Rpcity,Power,5102,3.4367277508938385
Rpcity,Power,5103,3.381315802257301
Rpcity,Power,5104,3.285491441888449
Rpcity,Power,5105,3.2595390097066987
Rpcity,Power,5106,3.2148101848052564
Rpcity,Power,5107,3.1399204265944194
Rpcity,Power,5108,3.021219078712197
Rpcity,Power,5109,2.935700152787006
Rpcity,Power,5110,2.80124389797897
Rpcity,Power,5111,2.5621146380883775
Rpcity,Power,5112,2.4022455027447327
Bwcity,Power,5088,2.4515418583521384
Bwcity,Power,5089,2.3654379828449628
Bwcity,Power,5090,2.3229266807141706
Bwcity,Power,5091,2.3299834441008254
Bwcity,Power,5092,2.385925355661363
Bwcity,Power,5093,2.5329791691350914
Bwcity,Power,5094,2.876711765860272
Bwcity,Power,5095,3.206501566653041
Bwcity,Power,5096,3.4064241847113426
Bwcity,Power,5097,3.5160885430208926
Bwcity,Power,5098,3.628086183692554
Bwcity,Power,5099,3.734506704185243
Bwcity,Power,5100,3.702580548639439
Bwcity,Power,5101,3.6754916886587536
Bwcity,Power,5102,3.624899259166004
Bwcity,Power,5103,3.5664533344024583
Bwcity,Power,5104,3.465382292967545
Bwcity,Power,5105,3.4380088845953765
Bwcity,Power,5106,3.3908310177403607
Bwcity,Power,5107,3.3118408128901278
Bwcity,Power,5108,3.186640197889896
