region,hour,Power
Hbcountry,2,0.0
Hbcountry,3,0.0
Hbcountry,4,0.0
Hbcountry,5,0.0
Hbcountry,6,0.0
Hbcountry,7,0.0
Hbcountry,8,0.0
Hbcountry,9,0.0
Hbcountry,10,0.0
Hbcountry,11,0.0
Hbcountry,12,0.0
Hbcountry,13,0.0
Hbcountry,14,0.0
Hbcountry,15,0.0
Hbcountry,16,0.0
Hbcountry,17,0.0
Hbcountry,18,0.0
Hbcountry,19,0.0
Hbcountry,20,0.0
Hbcountry,21,0.0
Hbcountry,22,0.0
Hbcountry,23,0.0
Hecity,0,2.3445044566937194
Hecity,1,2.1591181557424775
Hecity,2,2.057764099865517
Hecity,3,2.00956843228074
Hecity,4,2.0368156844982344
Hecity,5,2.0995654895863436
Hecity,6,2.2375673400209255
Hecity,7,2.5600488408965716
Hecity,8,2.8542810005547
Hecity,9,2.9339708650099996
Hecity,10,2.9446120875269783
Hecity,11,2.9787785192070033
Hecity,12,3.084952143104388
Hecity,13,3.0913464184444455
Hecity,14,3.0786533012063906
Hecity,15,2.999917806506191
Hecity,16,2.9649401602819427
Hecity,17,2.9358796045202005
Hecity,18,3.037233660397161
Hecity,19,3.0986473468185736
Hecity,20,3.035277201642038
Hecity,21,2.8438783717384433
Hecity,22,2.7150384699432673
Hecity,23,2.605715426358829
Hecountry,0,2.104684472795008
Hecountry,1,1.9382613858322204
Hecountry,2,1.84727486326452
Hecountry,3,1.8040091433244017
Hecountry,4,1.828469266871943
Hecountry,5,1.884800377722593
Hecountry,6,2.00868598220391
Hecountry,7,2.2981807646594548
Hecountry,8,2.5623158385175393
Hecountry,9,2.633854205561095
Hecountry,10,2.6434069345990365
Hecountry,11,2.6740784729031986
Hecountry,12,2.7693915685977717
Hecountry,13,2.775131771814095
Hecountry,14,2.763737036911362
Hecountry,15,2.6930554168870446
Hecountry,16,2.661655643389958
Hecountry,17,2.6355676995995734
Hecountry,18,2.7265542221672736
Hecountry,19,2.7816858862847003
Hecountry,20,2.7247978900981167
Hecountry,21,2.5529772973672693
Hecountry,22,2.4373164633643567
Hecountry,23,2.3391761029594385
Hhcity,0,1.349620992509721
Hhcity,1,1.2429028146989776
Hhcity,2,1.184558049732971
Hhcity,3,1.15681406974832
Hhcity,4,1.1724990318629993
Hhcity,5,1.208621144568315
Hhcity,6,1.2880623219224214
Hhcity,7,1.4736997610133171
Hhcity,8,1.643075382463867
Hhcity,9,1.6889490909364873
Hhcity,10,1.6950747424590842
Hhcity,11,1.7147427508959454
Hhcity,12,1.77586191458686
Hhcity,13,1.7795427982832805
Hhcity,14,1.7722359674363797
Hhcity,15,1.7269116447635697
Hhcity,16,1.7067766582515815
Hhcity,17,1.6900478625361082
Hhcity,18,1.7483926275021144
Hhcity,19,1.7837455995065412
Hhcity,20,1.7472663861766373
Hhcity,21,1.6370870781176659
Hhcity,22,1.5629200038605846
Hhcity,23,1.4999878673208729
Hhcountry,0,0.0
Hhcountry,1,0.0
Hhcountry,2,0.0
Hhcountry,3,0.0
Hhcountry,4,0.0
Hhcountry,5,0.0
Hhcountry,6,0.0
Hhcountry,7,0.0
Hhcountry,8,0.0
Hhcountry,9,0.0
Hhcountry,10,0.0
Hhcountry,11,0.0
Hhcountry,12,0.0
Hhcountry,13,0.0
Hhcountry,14,0.0
Hhcountry,15,0.0
Hhcountry,16,0.0
Hhcountry,17,0.0
Hhcountry,18,0.0
Hhcountry,19,0.0
Hhcountry,20,0.0
Hhcountry,21,0.0
Hhcountry,22,0.0
Hhcountry,23,0.0
Mvcity,0,0.1765866602561956
Mvcity,1,0.16262347598978735
Mvcity,2,0.15498954969050774
Mvcity,3,0.15135948110466443
Mvcity,4,0.15341172769200118
Mvcity,5,0.15813800512798565
Mvcity,6,0.16853222118837397
Mvcity,7,0.19282133314610614
