StartRegion,DestRegion,Drive
Hbcity,Hhcity,0.0
Hecity,Hhcity,0.0
Hhcity,Hhcity,169956.0
Mvcity,Hhcity,0.0
Nicity,Hhcity,0.0
Nwcity,Hhcity,0.0
Rpcity,Hhcity,0.0
Shcity,Hhcity,0.0
Slcity,Hhcity,0.0
Sncity,Hhcity,0.0
Stcity,Hhcity,0.0
Thcity,Hhcity,0.0
Bbcountry,Mvcity,77.11200000000001
Becountry,Mvcity,0.0
Bwcountry,Mvcity,0.0
Bycountry,Mvcity,0.0
Hbcountry,Mvcity,0.0
Hecountry,Mvcity,0.0
Hhcountry,Mvcity,7702.904000000001
Mvcountry,Mvcity,19.856
Nicountry,Mvcity,0.0
Nwcountry,Mvcity,0.0
Rpcountry,Mvcity,80.24000000000001
Shcountry,Mvcity,0.0
Slcountry,Mvcity,0.0
Sncountry,Mvcity,0.0
Stcountry,Mvcity,0.0
Thcountry,Mvcity,0.0
Bbcity,Mvcity,0.0
Becity,Mvcity,0.0
Bwcity,Mvcity,0.0
Bycity,Mvcity,0.0
Hbcity,Mvcity,0.0
Hecity,Mvcity,0.0
Hhcity,Mvcity,0.0
Mvcity,Mvcity,31520.0
Nicity,Mvcity,0.0
Nwcity,Mvcity,0.0
Rpcity,Mvcity,0.0
Shcity,Mvcity,0.0
Slcity,Mvcity,0.0
Sncity,Mvcity,0.0
Stcity,Mvcity,0.0
Thcity,Mvcity,0.0
Bbcountry,Nicity,0.0
Becountry,Nicity,0.0
Bwcountry,Nicity,0.0
Bycountry,Nicity,0.0
Hbcountry,Nicity,0.0
Hecountry,Nicity,0.0
Hhcountry,Nicity,17.952
Mvcountry,Nicity,40584.168000000005
Nicountry,Nicity,2544.5600000000004
Nwcountry,Nicity,0.0
Rpcountry,Nicity,114.92000000000002
Shcountry,Nicity,0.0
Slcountry,Nicity,0.0
Sncountry,Nicity,523.7360000000001
Stcountry,Nicity,34.544000000000004
Thcountry,Nicity,0.0
Bbcity,Nicity,0.0
Becity,Nicity,0.0
Bwcity,Nicity,0.0
Bycity,Nicity,0.0
Hbcity,Nicity,0.0
Hecity,Nicity,0.0
Hhcity,Nicity,0.0
Mvcity,Nicity,0.0
Nicity,Nicity,175276.0
Nwcity,Nicity,0.0
Rpcity,Nicity,0.0
Shcity,Nicity,0.0
Slcity,Nicity,0.0
Sncity,Nicity,0.0
Stcity,Nicity,0.0
Thcity,Nicity,0.0
Bbcountry,Nwcity,0.0
Becountry,Nwcity,0.0
Bwcountry,Nwcity,0.0
Bycountry,Nwcity,0.0
Hbcountry,Nwcity,0.0
Hecountry,Nwcity,0.0
Hhcountry,Nwcity,0.0
Mvcountry,Nwcity,1220.4640000000002
Nicountry,Nwcity,96811.32800000001
Nwcountry,Nwcity,4067.2160000000003
Rpcountry,Nwcity,0.0
Shcountry,Nwcity,0.0
Slcountry,Nwcity,0.0
Sncountry,Nwcity,0.0
Stcountry,Nwcity,0.0
Thcountry,Nwcity,0.0
Bbcity,Nwcity,0.0
Becity,Nwcity,0.0
Bwcity,Nwcity,0.0
Bycity,Nwcity,0.0
Hbcity,Nwcity,0.0
Hecity,Nwcity,0.0
Hhcity,Nwcity,0.0
Mvcity,Nwcity,0.0
Nicity,Nwcity,0.0
Nwcity,Nwcity,408396.0
Rpcity,Nwcity,0.0
Shcity,Nwcity,0.0
Slcity,Nwcity,0.0
Sncity,Nwcity,0.0
Stcity,Nwcity,0.0
Thcity,Nwcity,0.0
Bbcountry,Rpcity,0.0
Becountry,Rpcity,0.0
Bwcountry,Rpcity,0.0
Bycountry,Rpcity,0.0
Hbcountry,Rpcity,0.0
Hecountry,Rpcity,0.0
Hhcountry,Rpcity,0.0
Mvcountry,Rpcity,22.032000000000004
Nicountry,Rpcity,242.08000000000004
Nwcountry,Rpcity,28725.784000000003
Rpcountry,Rpcity,0.0
Shcountry,Rpcity,620.0240000000001
Slcountry,Rpcity,0.0
Sncountry,Rpcity,0.0
Stcountry,Rpcity,0.0
Thcountry,Rpcity,0.0
Bbcity,Rpcity,0.0
Becity,Rpcity,0.0
Bwcity,Rpcity,0.0
Bycity,Rpcity,0.0
Hbcity,Rpcity,0.0
Hecity,Rpcity,0.0
Hhcity,Rpcity,0.0
Mvcity,Rpcity,0.0
Nicity,Rpcity,0.0
Nwcity,Rpcity,0.0
Rpcity,Rpcity,118436.0
Shcity,Rpcity,0.0
Slcity,Rpcity,0.0
Sncity,Rpcity,0.0
Stcity,Rpcity,0.0
Thcity,Rpcity,0.0
Bbcountry,Shcity,0.0
Becountry,Shcity,0.0
Bwcountry,Shcity,0.0
Bycountry,Shcity,0.0
Hbcountry,Shcity,0.0
Hecountry,Shcity,0.0
Hhcountry,Shcity,145.11200000000002
Mvcountry,Shcity,200.32800000000003
Nicountry,Shcity,0.0
Nwcountry,Shcity,0.0
Rpcountry,Shcity,14104.152000000002
Shcountry,Shcity,0.0
Slcountry,Shcity,0.0
Sncountry,Shcity,0.0
Stcountry,Shcity,0.0
Thcountry,Shcity,0.0
Bbcity,Shcity,0.0
Becity,Shcity,0.0
Bwcity,Shcity,0.0
Bycity,Shcity,0.0
Hbcity,Shcity,0.0
Hecity,Shcity,0.0
Hhcity,Shcity,0.0
Mvcity,Shcity,0.0
Nicity,Shcity,0.0
Nwcity,Shcity,0.0
Rpcity,Shcity,0.0
