region,hour,Power
Becountry,19,0.0
Becountry,20,0.0
Becountry,21,0.0
Becountry,22,0.0
Becountry,23,0.0
Bwcity,0,2.4515418583521384
Bwcity,1,2.3654379828449628
Bwcity,2,2.3229266807141706
Bwcity,3,2.3299834441008254
Bwcity,4,2.385925355661363
Bwcity,5,2.5329791691350914
Bwcity,6,2.876711765860272
Bwcity,7,3.206501566653041
Bwcity,8,3.4064241847113426
Bwcity,9,3.5160885430208926
Bwcity,10,3.628086183692554
Bwcity,11,3.734506704185243
Bwcity,12,3.702580548639439
Bwcity,13,3.6754916886587536
Bwcity,14,3.624899259166004
Bwcity,15,3.5664533344024583
Bwcity,16,3.465382292967545
Bwcity,17,3.4380088845953765
Bwcity,18,3.3908310177403607
Bwcity,19,3.3118408128901278
Bwcity,20,3.186640197889896
Bwcity,21,3.0964388454114316
Bwcity,22,2.9546206934448924
Bwcity,23,2.7023983645749725
Bwcountry,0,5.776509959624295
Bwcountry,1,5.573625439119401
Bwcountry,2,5.473457065767546
Bwcountry,3,5.490084750033612
Bwcountry,4,5.621899349971578
Bwcountry,5,5.968398764304527
Bwcountry,6,6.778327732747749
Bwcountry,7,7.555403621691557
Bwcountry,8,8.0264765468523
Bwcountry,9,8.284876074411958
Bwcountry,10,8.54877345988395
Bwcountry,11,8.799529609300722
Bwcountry,12,8.724302765894175
Bwcountry,13,8.660473927345002
Bwcountry,14,8.541264185177718
Bwcountry,15,8.403549438294707
Bwcountry,16,8.1653981395562
Bwcountry,17,8.100898826378256
Bwcountry,18,7.9897347372017355
Bwcountry,19,7.803611990214728
Bwcountry,20,7.508604749348747
Bwcountry,21,7.296065440999483
Bwcountry,22,6.96190269174874
Bwcountry,23,6.367597197925331
Bycity,0,1.8773658943224247
Bycity,1,1.811428419628515
Bycity,2,1.7788736955589732
Bycity,3,1.7842776933986484
Bycity,4,1.827117441971226
Bycity,5,1.9397297610736206
Bycity,6,2.2029566978930886
Bycity,7,2.4555063829798027
Bycity,8,2.6086050964966057
Bycity,9,2.6925849499964314
Bycity,10,2.7783516074676142
Bycity,11,2.8598473628626735
Bycity,12,2.8353986367051633
Bycity,13,2.8146542624369637
Bycity,14,2.7759110929834163
Bycity,15,2.731153796492885
Bycity,16,2.6537546179118197
Bycity,17,2.632792339370994
Bycity,18,2.596664007358738
Bycity,19,2.5361741095149997
Bycity,20,2.4402967481928393
Bycity,21,2.3712214671863583
Bycity,22,2.2626185645719286
Bycity,23,2.069469262880933
Bycountry,0,8.266522498412655
Bycountry,1,7.976182922257499
Bycountry,2,7.832836140596905
Bycountry,3,7.856631326105573
Bycountry,4,8.045265702852557
Bycountry,5,8.541126564218825
Bycountry,6,9.700182133507157
Bycountry,7,10.812223030835723
Bycountry,8,11.486355848307332
Bycountry,9,11.856140635848849
Bycountry,10,12.233793178564863
Bycountry,11,12.592639846407168
Bycountry,12,12.484985848084412
Bycountry,13,12.39364305916821
Bycountry,14,12.223046968701171
Bycountry,15,12.025969137722123
Bycountry,16,11.685160746010098
Bycountry,17,11.59285846881428
Bycountry,18,11.433776176804692
Bycountry,19,11.167423675694396
Bycountry,20,10.745251116336098
Bycountry,21,10.441094975942198
Bycountry,22,9.962888601484158
Bycountry,23,9.11240279431678
Hbcity,0,1.5191772674285324
Hbcity,1,1.465820213841072
Hbcity,2,1.4394767094110494
Hbcity,3,1.4438496612666762
Hbcity,4,1.4785158775703993
Hbcity,5,1.5696425331308015
Hbcity,6,1.7826475631040923
Hbcity,7,1.9870124882581433
Hbcity,8,2.1109010099100316
Hbcity,9,2.178858079304306
Hbcity,10,2.248261042641177
Hbcity,11,2.314207962931201
Hbcity,12,2.294423887217244
Hbcity,13,2.2776373982804925
Hbcity,14,2.2462861616995156
Hbcity,15,2.2100682525611823
Hbcity,16,2.1474363101286533
Hbcity,17,2.130473491570463
Hbcity,18,2.1012381992552482
Hbcity,19,2.0522893619555016
Hbcity,20,1.9747047482037818
Hbcity,21,1.918808560378255
Hbcity,22,1.8309263519459225
Hbcity,23,1.6746286215801751
Hbcountry,0,0.0
Hbcountry,1,0.0
Hbcountry,2,0.0
Hbcountry,3,0.0
Hbcountry,4,0.0
Hbcountry,5,0.0
Hbcountry,6,0.0
Hbcountry,7,0.0
Hbcountry,8,0.0
Hbcountry,9,0.0
Hbcountry,10,0.0
Hbcountry,11,0.0
Hbcountry,12,0.0
Hbcountry,13,0.0
Hbcountry,14,0.0
Hbcountry,15,0.0
Hbcountry,16,0.0
Hbcountry,17,0.0
Hbcountry,18,0.0
Hbcountry,19,0.0
Hbcountry,20,0.0
Hbcountry,21,0.0
Hbcountry,22,0.0
Hbcountry,23,0.0
Hecity,0,2.0556167666545946
Hecity,1,1.9834187050292214
Hecity,2,1.9477729969477309
Hecity,3,1.9536900899341307
Hecity,4,2.0005973580971332
Hecity,5,2.1239019158175068
Hecity,6,2.4121215465232826
