country,Plant,hour,value
Hecountry,Solar PV,10,0.204666666666667
Nicountry,Solar PV,10,0.3715
Nwcountry,Solar PV,10,0.1734
Rpcountry,Solar PV,10,0.147333333333333
Sncountry,Solar PV,10,0.487666666666667
Becountry,Solar PV,11,0.241
Bbcountry,Solar PV,11,0.299
Hbcountry,Solar PV,11,0.407
Hhcountry,Solar PV,11,0.273
Mvcountry,Solar PV,11,0.21
Slcountry,Solar PV,11,0.145
Stcountry,Solar PV,11,0.474
Shcountry,Solar PV,11,0.184
Thcountry,Solar PV,11,0.523
Bwcountry,Solar PV,11,0.39225
Bycountry,Solar PV,11,0.423714285714286
Hecountry,Solar PV,11,0.23
Nicountry,Solar PV,11,0.3915
Nwcountry,Solar PV,11,0.1828
Rpcountry,Solar PV,11,0.182
Sncountry,Solar PV,11,0.505666666666667
Becountry,Solar PV,12,0.285
Bbcountry,Solar PV,12,0.309
Hbcountry,Solar PV,12,0.381
Hhcountry,Solar PV,12,0.3
Mvcountry,Solar PV,12,0.178
Slcountry,Solar PV,12,0.197
Stcountry,Solar PV,12,0.443
Shcountry,Solar PV,12,0.173
Thcountry,Solar PV,12,0.454
Bwcountry,Solar PV,12,0.38275
Bycountry,Solar PV,12,0.367857142857143
Hecountry,Solar PV,12,0.221
Nicountry,Solar PV,12,0.35275
Nwcountry,Solar PV,12,0.1984
Rpcountry,Solar PV,12,0.197
Sncountry,Solar PV,12,0.446333333333333
Becountry,Solar PV,13,0.265
Bbcountry,Solar PV,13,0.25
Hbcountry,Solar PV,13,0.302
Hhcountry,Solar PV,13,0.245
Mvcountry,Solar PV,13,0.125
Slcountry,Solar PV,13,0.191
Stcountry,Solar PV,13,0.344
Shcountry,Solar PV,13,0.139
Thcountry,Solar PV,13,0.323
Bwcountry,Solar PV,13,0.3245
Bycountry,Solar PV,13,0.281
Hecountry,Solar PV,13,0.168666666666667
Nicountry,Solar PV,13,0.2695
Nwcountry,Solar PV,13,0.1752
Rpcountry,Solar PV,13,0.16
Sncountry,Solar PV,13,0.324
Becountry,Solar PV,14,0.12
Bbcountry,Solar PV,14,0.12
Hbcountry,Solar PV,14,0.168
Hhcountry,Solar PV,14,0.107
