Technology,Y2025
Offshore,0.0212
Onshore,1.508
Solar PV,0.0106
Hydro,0.0
Lignite,13.256654545454547
Coal,32.21332121212121
OCGT,41.79903703703704
CCGT,30.866189473684212
Biomass CC,2.8216
