country,Plant,hour,value
Thcountry,Solar PV,10,0.377
Bwcountry,Solar PV,10,0.5615
Bycountry,Solar PV,10,0.451285714285714
Hecountry,Solar PV,10,0.534333333333333
Nicountry,Solar PV,10,0.48025
Nwcountry,Solar PV,10,0.5016
Rpcountry,Solar PV,10,0.626666666666667
Sncountry,Solar PV,10,0.386666666666667
Becountry,Solar PV,11,0.427
Bbcountry,Solar PV,11,0.428
Hbcountry,Solar PV,11,0.593
Hhcountry,Solar PV,11,0.492
Mvcountry,Solar PV,11,0.435
Slcountry,Solar PV,11,0.674
Stcountry,Solar PV,11,0.207
Shcountry,Solar PV,11,0.463
Thcountry,Solar PV,11,0.51
Bwcountry,Solar PV,11,0.58725
Bycountry,Solar PV,11,0.487285714285714
Hecountry,Solar PV,11,0.565333333333333
Nicountry,Solar PV,11,0.4715
Nwcountry,Solar PV,11,0.4904
Rpcountry,Solar PV,11,0.646333333333333
Sncountry,Solar PV,11,0.332666666666667
Becountry,Solar PV,12,0.25
Bbcountry,Solar PV,12,0.296
Hbcountry,Solar PV,12,0.548
Hhcountry,Solar PV,12,0.397
Mvcountry,Solar PV,12,0.318
Slcountry,Solar PV,12,0.657
Stcountry,Solar PV,12,0.326
Shcountry,Solar PV,12,0.425
Thcountry,Solar PV,12,0.519
Bwcountry,Solar PV,12,0.599
Bycountry,Solar PV,12,0.485285714285714
Hecountry,Solar PV,12,0.580333333333333
Nicountry,Solar PV,12,0.449
Nwcountry,Solar PV,12,0.4494
Rpcountry,Solar PV,12,0.636
Sncountry,Solar PV,12,0.362666666666667
Becountry,Solar PV,13,0.145
Bbcountry,Solar PV,13,0.203
Hbcountry,Solar PV,13,0.464
Hhcountry,Solar PV,13,0.341
Mvcountry,Solar PV,13,0.203
Slcountry,Solar PV,13,0.604
Stcountry,Solar PV,13,0.385
Shcountry,Solar PV,13,0.34
Thcountry,Solar PV,13,0.456
Bwcountry,Solar PV,13,0.56425
Bycountry,Solar PV,13,0.424428571428571
Hecountry,Solar PV,13,0.546666666666667
Nicountry,Solar PV,13,0.40375
Nwcountry,Solar PV,13,0.422
Rpcountry,Solar PV,13,0.583333333333333
Sncountry,Solar PV,13,0.380333333333333
Becountry,Solar PV,14,0.127
Bbcountry,Solar PV,14,0.162
Hbcountry,Solar PV,14,0.334
Hhcountry,Solar PV,14,0.238
Mvcountry,Solar PV,14,0.125
Slcountry,Solar PV,14,0.512
Stcountry,Solar PV,14,0.335
Shcountry,Solar PV,14,0.226
Thcountry,Solar PV,14,0.363
Bwcountry,Solar PV,14,0.469
Bycountry,Solar PV,14,0.320142857142857
Hecountry,Solar PV,14,0.461666666666667
Nicountry,Solar PV,14,0.31225
Nwcountry,Solar PV,14,0.339
Rpcountry,Solar PV,14,0.482666666666667
Sncountry,Solar PV,14,0.315333333333333
Becountry,Solar PV,15,0.122
Bbcountry,Solar PV,15,0.134
Hbcountry,Solar PV,15,0.199
Hhcountry,Solar PV,15,0.221
Mvcountry,Solar PV,15,0.081
Slcountry,Solar PV,15,0.383
Stcountry,Solar PV,15,0.245
Shcountry,Solar PV,15,0.169
Thcountry,Solar PV,15,0.259
Bwcountry,Solar PV,15,0.36
Bycountry,Solar PV,15,0.247571428571429
Hecountry,Solar PV,15,0.344666666666667
Nicountry,Solar PV,15,0.227
Nwcountry,Solar PV,15,0.2568
Rpcountry,Solar PV,15,0.365666666666667
Sncountry,Solar PV,15,0.215333333333333
Becountry,Solar PV,16,0.079
Bbcountry,Solar PV,16,0.094
Hbcountry,Solar PV,16,0.095
Hhcountry,Solar PV,16,0.148
Mvcountry,Solar PV,16,0.054
Slcountry,Solar PV,16,0.242
Stcountry,Solar PV,16,0.15
Shcountry,Solar PV,16,0.113
Thcountry,Solar PV,16,0.163
Bwcountry,Solar PV,16,0.20825
Bycountry,Solar PV,16,0.162857142857143
Hecountry,Solar PV,16,0.211
Nicountry,Solar PV,16,0.1235
Nwcountry,Solar PV,16,0.1584
Rpcountry,Solar PV,16,0.222
Sncountry,Solar PV,16,0.126
Becountry,Solar PV,17,0.05
Bbcountry,Solar PV,17,0.044
Hbcountry,Solar PV,17,0.037
Hhcountry,Solar PV,17,0.075
Mvcountry,Solar PV,17,0.025
Slcountry,Solar PV,17,0.106
Stcountry,Solar PV,17,0.065
Shcountry,Solar PV,17,0.056
Thcountry,Solar PV,17,0.06
Bwcountry,Solar PV,17,0.08925
Bycountry,Solar PV,17,0.073
Hecountry,Solar PV,17,0.0853333333333333
Nicountry,Solar PV,17,0.0565
Nwcountry,Solar PV,17,0.0828
Rpcountry,Solar PV,17,0.101
Sncountry,Solar PV,17,0.0496666666666667
Becountry,Solar PV,18,0.004
Bbcountry,Solar PV,18,0.003
Hbcountry,Solar PV,18,0.005
Hhcountry,Solar PV,18,0.015
Mvcountry,Solar PV,18,0.002
Slcountry,Solar PV,18,0.02
Stcountry,Solar PV,18,0.007
Shcountry,Solar PV,18,0.014
Thcountry,Solar PV,18,0.005
Bwcountry,Solar PV,18,0.0125
Bycountry,Solar PV,18,0.006
Hecountry,Solar PV,18,0.0126666666666667
Nicountry,Solar PV,18,0.00925
Nwcountry,Solar PV,18,0.0176
Rpcountry,Solar PV,18,0.018
Sncountry,Solar PV,18,0.0033333333333333
Becountry,Solar PV,19,0.0
Bbcountry,Solar PV,19,0.0
Hbcountry,Solar PV,19,0.0
Hhcountry,Solar PV,19,0.0
Mvcountry,Solar PV,19,0.0
Slcountry,Solar PV,19,0.0
Stcountry,Solar PV,19,0.0
Shcountry,Solar PV,19,0.0
Thcountry,Solar PV,19,0.0
Bwcountry,Solar PV,19,0.0
Bycountry,Solar PV,19,0.0
Hecountry,Solar PV,19,0.0
Nicountry,Solar PV,19,0.0
Nwcountry,Solar PV,19,0.0
Rpcountry,Solar PV,19,0.0
Sncountry,Solar PV,19,0.0
Becountry,Solar PV,20,0.0
Bbcountry,Solar PV,20,0.0
Hbcountry,Solar PV,20,0.0
Hhcountry,Solar PV,20,0.0
Mvcountry,Solar PV,20,0.0
Slcountry,Solar PV,20,0.0
Stcountry,Solar PV,20,0.0
Shcountry,Solar PV,20,0.0
Thcountry,Solar PV,20,0.0
Bwcountry,Solar PV,20,0.0
Bycountry,Solar PV,20,0.0
Hecountry,Solar PV,20,0.0
Nicountry,Solar PV,20,0.0
Nwcountry,Solar PV,20,0.0
Rpcountry,Solar PV,20,0.0
Sncountry,Solar PV,20,0.0
Becountry,Solar PV,21,0.0
Bbcountry,Solar PV,21,0.0
Hbcountry,Solar PV,21,0.0
Hhcountry,Solar PV,21,0.0
Mvcountry,Solar PV,21,0.0
Slcountry,Solar PV,21,0.0
Stcountry,Solar PV,21,0.0
Shcountry,Solar PV,21,0.0
Thcountry,Solar PV,21,0.0
Bwcountry,Solar PV,21,0.0
Bycountry,Solar PV,21,0.0
Hecountry,Solar PV,21,0.0
Nicountry,Solar PV,21,0.0
Nwcountry,Solar PV,21,0.0
Rpcountry,Solar PV,21,0.0
Sncountry,Solar PV,21,0.0
Becountry,Solar PV,22,0.0
Bbcountry,Solar PV,22,0.0
Hbcountry,Solar PV,22,0.0
Hhcountry,Solar PV,22,0.0
Mvcountry,Solar PV,22,0.0
Slcountry,Solar PV,22,0.0
Stcountry,Solar PV,22,0.0
Shcountry,Solar PV,22,0.0
Thcountry,Solar PV,22,0.0
Bwcountry,Solar PV,22,0.0
Bycountry,Solar PV,22,0.0
Hecountry,Solar PV,22,0.0
Nicountry,Solar PV,22,0.0
Nwcountry,Solar PV,22,0.0
Rpcountry,Solar PV,22,0.0
Sncountry,Solar PV,22,0.0
Becountry,Solar PV,23,0.0
Bbcountry,Solar PV,23,0.0
Hbcountry,Solar PV,23,0.0
Hhcountry,Solar PV,23,0.0
Mvcountry,Solar PV,23,0.0
Slcountry,Solar PV,23,0.0
Stcountry,Solar PV,23,0.0
Shcountry,Solar PV,23,0.0
Thcountry,Solar PV,23,0.0
Bwcountry,Solar PV,23,0.0
Bycountry,Solar PV,23,0.0
Hecountry,Solar PV,23,0.0
Nicountry,Solar PV,23,0.0
Nwcountry,Solar PV,23,0.0
Rpcountry,Solar PV,23,0.0
Sncountry,Solar PV,23,0.0
Becountry,Onshore,0,0.0265
Bbcountry,Onshore,0,0.0467
Hbcountry,Onshore,0,0.0558
Hhcountry,Onshore,0,0.0885
Mvcountry,Onshore,0,0.1854
Slcountry,Onshore,0,0.0843
Stcountry,Onshore,0,0.0213
Shcountry,Onshore,0,0.1359
Thcountry,Onshore,0,0.0517
Bwcountry,Onshore,0,0.0807
Bycountry,Onshore,0,0.152257142857143
Hecountry,Onshore,0,0.0348
Nicountry,Onshore,0,0.062675
Nwcountry,Onshore,0,0.11444
Rpcountry,Onshore,0,0.0767
Sncountry,Onshore,0,0.0066666666666666
Becountry,Onshore,1,0.022
Bbcountry,Onshore,1,0.0435
Hbcountry,Onshore,1,0.1011
Hhcountry,Onshore,1,0.1022
Mvcountry,Onshore,1,0.1897
Slcountry,Onshore,1,0.0801
Stcountry,Onshore,1,0.0085
Shcountry,Onshore,1,0.1392
Thcountry,Onshore,1,0.0798
Bwcountry,Onshore,1,0.0588
Bycountry,Onshore,1,0.164514285714286
Hecountry,Onshore,1,0.0208666666666667
Nicountry,Onshore,1,0.093075
Nwcountry,Onshore,1,0.10046
Rpcountry,Onshore,1,0.0820666666666667
Sncountry,Onshore,1,0.0079
Becountry,Onshore,2,0.0169
Bbcountry,Onshore,2,0.0401
Hbcountry,Onshore,2,0.1601
Hhcountry,Onshore,2,0.1093
Mvcountry,Onshore,2,0.1936
Slcountry,Onshore,2,0.0875
Stcountry,Onshore,2,0.0117
Shcountry,Onshore,2,0.1427
Thcountry,Onshore,2,0.1095
Bwcountry,Onshore,2,0.0503
Bycountry,Onshore,2,0.1585
Hecountry,Onshore,2,0.0250333333333333
Nicountry,Onshore,2,0.1039
Nwcountry,Onshore,2,0.09704
Rpcountry,Onshore,2,0.0821666666666667
Sncountry,Onshore,2,0.0165666666666667
Becountry,Onshore,3,0.0109
Bbcountry,Onshore,3,0.0306
Hbcountry,Onshore,3,0.1186
Hhcountry,Onshore,3,0.0879
Mvcountry,Onshore,3,0.1822
Slcountry,Onshore,3,0.1104
Stcountry,Onshore,3,0.0398
Shcountry,Onshore,3,0.1645
Thcountry,Onshore,3,0.1228
Bwcountry,Onshore,3,0.049225
Bycountry,Onshore,3,0.132328571428571
Hecountry,Onshore,3,0.0320333333333333
Nicountry,Onshore,3,0.085
Nwcountry,Onshore,3,0.10408
Rpcountry,Onshore,3,0.0894333333333333
Sncountry,Onshore,3,0.0344333333333333
Becountry,Onshore,4,0.002
Bbcountry,Onshore,4,0.0156
Hbcountry,Onshore,4,0.0471
Hhcountry,Onshore,4,0.0406
Mvcountry,Onshore,4,0.1412
Slcountry,Onshore,4,0.0994
Stcountry,Onshore,4,0.0657
Shcountry,Onshore,4,0.1656
Thcountry,Onshore,4,0.0922
Bwcountry,Onshore,4,0.04525
Bycountry,Onshore,4,0.0781857142857143
Hecountry,Onshore,4,0.0259333333333333
Nicountry,Onshore,4,0.05885
Nwcountry,Onshore,4,0.09684
Rpcountry,Onshore,4,0.0852666666666667
Sncountry,Onshore,4,0.0406
Becountry,Onshore,5,0.0
Bbcountry,Onshore,5,0.0088
Hbcountry,Onshore,5,0.0218
Hhcountry,Onshore,5,0.0054
Mvcountry,Onshore,5,0.1087
Slcountry,Onshore,5,0.0667
Stcountry,Onshore,5,0.0695
Shcountry,Onshore,5,0.1136
Thcountry,Onshore,5,0.0646
Bwcountry,Onshore,5,0.0275
Bycountry,Onshore,5,0.0706571428571429
Hecountry,Onshore,5,0.0179
Nicountry,Onshore,5,0.03945
Nwcountry,Onshore,5,0.06438
Rpcountry,Onshore,5,0.0629333333333333
Sncountry,Onshore,5,0.0316666666666667
Becountry,Onshore,6,0.0
Bbcountry,Onshore,6,0.0103
Hbcountry,Onshore,6,0.0314
Hhcountry,Onshore,6,0.0
Mvcountry,Onshore,6,0.0823
Slcountry,Onshore,6,0.1189
Stcountry,Onshore,6,0.0652
Shcountry,Onshore,6,0.0749
Thcountry,Onshore,6,0.0393
Bwcountry,Onshore,6,0.017625
Bycountry,Onshore,6,0.0798714285714286
Hecountry,Onshore,6,0.0332333333333333
Nicountry,Onshore,6,0.044325
Nwcountry,Onshore,6,0.11474
Rpcountry,Onshore,6,0.0985666666666667
Sncountry,Onshore,6,0.0292
Becountry,Onshore,7,0.0004
Bbcountry,Onshore,7,0.0115
Hbcountry,Onshore,7,0.0585
Hhcountry,Onshore,7,0.0
Mvcountry,Onshore,7,0.063
Slcountry,Onshore,7,0.154
Stcountry,Onshore,7,0.0454
Shcountry,Onshore,7,0.059
Thcountry,Onshore,7,0.0332
Bwcountry,Onshore,7,0.018725
Bycountry,Onshore,7,0.0670571428571429
Hecountry,Onshore,7,0.0313333333333333
Nicountry,Onshore,7,0.058275
Nwcountry,Onshore,7,0.14176
Rpcountry,Onshore,7,0.119766666666667
Sncountry,Onshore,7,0.0224333333333333
Becountry,Onshore,8,0.0019
Bbcountry,Onshore,8,0.0085
Hbcountry,Onshore,8,0.0757
Hhcountry,Onshore,8,0.0001
Mvcountry,Onshore,8,0.0548
Slcountry,Onshore,8,0.1793
Stcountry,Onshore,8,0.0306
Shcountry,Onshore,8,0.0566
Thcountry,Onshore,8,0.0473
Bwcountry,Onshore,8,0.02375
Bycountry,Onshore,8,0.0569428571428571
Hecountry,Onshore,8,0.0268666666666667
Nicountry,Onshore,8,0.0713
Nwcountry,Onshore,8,0.15166
Rpcountry,Onshore,8,0.1354
Sncountry,Onshore,8,0.0228333333333333
Becountry,Onshore,9,0.0008
Bbcountry,Onshore,9,0.0061
Hbcountry,Onshore,9,0.0949
Hhcountry,Onshore,9,0.0011
Mvcountry,Onshore,9,0.0523
Slcountry,Onshore,9,0.1757
Stcountry,Onshore,9,0.0292
Shcountry,Onshore,9,0.0542
Thcountry,Onshore,9,0.0461
Bwcountry,Onshore,9,0.031675
Bycountry,Onshore,9,0.0449857142857143
Hecountry,Onshore,9,0.0364666666666667
Nicountry,Onshore,9,0.081525
Nwcountry,Onshore,9,0.15394
Rpcountry,Onshore,9,0.142933333333333
Sncountry,Onshore,9,0.0343666666666667
Becountry,Onshore,10,0.0003
Bbcountry,Onshore,10,0.0091
Hbcountry,Onshore,10,0.1054
Hhcountry,Onshore,10,0.0044
Mvcountry,Onshore,10,0.0515
Slcountry,Onshore,10,0.1581
Stcountry,Onshore,10,0.0314
Shcountry,Onshore,10,0.0492
Thcountry,Onshore,10,0.0305
Bwcountry,Onshore,10,0.0407
Bycountry,Onshore,10,0.0360857142857143
Hecountry,Onshore,10,0.0523666666666667
Nicountry,Onshore,10,0.0818
Nwcountry,Onshore,10,0.15314
Rpcountry,Onshore,10,0.137466666666667
Sncountry,Onshore,10,0.0542333333333333
Becountry,Onshore,11,0.0025
Bbcountry,Onshore,11,0.0196
Hbcountry,Onshore,11,0.1127
Hhcountry,Onshore,11,0.0074
Mvcountry,Onshore,11,0.0514
Slcountry,Onshore,11,0.1419
Stcountry,Onshore,11,0.0248
Shcountry,Onshore,11,0.0405
Thcountry,Onshore,11,0.0195
Bwcountry,Onshore,11,0.044075
Bycountry,Onshore,11,0.0365142857142857
Hecountry,Onshore,11,0.0618333333333333
Nicountry,Onshore,11,0.082525
Nwcountry,Onshore,11,0.15216
Rpcountry,Onshore,11,0.126233333333333
Sncountry,Onshore,11,0.0718
Becountry,Onshore,12,0.0118
Bbcountry,Onshore,12,0.0335
Hbcountry,Onshore,12,0.1243
Hhcountry,Onshore,12,0.0087
Mvcountry,Onshore,12,0.0503
Slcountry,Onshore,12,0.1303
Stcountry,Onshore,12,0.0145
Shcountry,Onshore,12,0.0299
Thcountry,Onshore,12,0.0225
Bwcountry,Onshore,12,0.043325
Bycountry,Onshore,12,0.0426142857142857
Hecountry,Onshore,12,0.0649
Nicountry,Onshore,12,0.08705
Nwcountry,Onshore,12,0.15146
Rpcountry,Onshore,12,0.117333333333333
Sncountry,Onshore,12,0.0594666666666667
Becountry,Onshore,13,0.0206
Bbcountry,Onshore,13,0.0341
Hbcountry,Onshore,13,0.1332
Hhcountry,Onshore,13,0.0134
Mvcountry,Onshore,13,0.0483
Slcountry,Onshore,13,0.1216
Stcountry,Onshore,13,0.0072
Shcountry,Onshore,13,0.0231
Thcountry,Onshore,13,0.0318
Bwcountry,Onshore,13,0.04225
Bycountry,Onshore,13,0.0502285714285714
Hecountry,Onshore,13,0.0674333333333333
Nicountry,Onshore,13,0.094325
Nwcountry,Onshore,13,0.14694
Rpcountry,Onshore,13,0.111366666666667
Sncountry,Onshore,13,0.0399
Becountry,Onshore,14,0.0141
Bbcountry,Onshore,14,0.0222
Hbcountry,Onshore,14,0.1418
Hhcountry,Onshore,14,0.0206
Mvcountry,Onshore,14,0.0488
Slcountry,Onshore,14,0.1111
Stcountry,Onshore,14,0.0043
Shcountry,Onshore,14,0.0194
