Technology,Y2025,Y2035,Y2045
Offwind,0.0212,0.0212,0.0212
Onwind,1.508,1.3715,1.3
Solar PV,0.0106,0.0106,0.0106
Hydro,0.0,0.0,0.0
Lignite,13.256654545454547,13.256654545454547,13.256654545454547
Coal,32.21332121212121,32.21332121212121,32.21332121212121
OCGT,41.79903703703704,54.15959036144579,56.52670588235294
CCGT,30.866189473684212,39.43433504273504,41.26058991596639
